"act_ID","const_comp","year","site","sp","nest","lat","lon","local_plus","on","on_state","off","off_state","one_since","circumstances","start","widowed_bird","sex","days_of_unip","end","state","end_circ","comments"
"biparental_13",NA,2012,"barr","basa","b405",71.3347,-156.656,-2.44373333333333,"2012-07-10 09:48:22",NA,"2012-07-19 06:01:22",NA,"2012-07-11 23:58:22","bpd","2012-07-11 23:58:22","257188578","f",7.25,"2012-07-19 06:01:22","w","end_of_field",NA
"biparental_14",NA,2011,"barr","basa","b501",71.3242,-156.666,-2.4444,"2011-07-06 07:37:20",NA,"2011-07-09 09:20:02",NA,"2011-07-06 07:48:20","catching","2011-07-06 19:55:20","255174467","f",2.56,"2011-07-09 09:20:02","u","possibly depredated",NA
"biparental_15",NA,2012,"barr","basa","b601",71.327,-156.645,-2.443,"2012-07-02 12:23:25",NA,"2012-07-19 05:05:25",NA,"2012-07-12 17:28:25","bpd","2012-07-12 17:28:25","257188413","f",5.46,"2012-07-18 04:33:25","s",NA,NA
"biparental_16",NA,2012,"barr","dunl","d702",71.3169,-156.667,-2.44446666666667,"2012-07-02 13:24:19",NA,"2012-07-09 01:43:19",NA,"always","unknown","2012-07-02 13:33:19","221113982","m",6.51,"2012-07-09 01:43:19","p",NA,NA
"biparental_17",NA,2012,"barr","lbdo","l301",71.3236,-156.63,-2.442,"2012-07-06 05:55:28",NA,"2012-07-13 05:13:28",NA,"2012-07-10 15:08:28","bpd","2012-07-10 15:08:28","129270411","m",1.55,"2012-07-12 04:23:28","s",NA,NA
"biparental_18",NA,2012,"barr","lbdo","l302",71.3238,-156.64,-2.44266666666667,"2012-07-08 09:42:26",NA,"2012-07-15 20:58:26",NA,"2012-07-08 09:29:26","catching","2012-07-09 13:18:26","NA_2012_l302","m",6.32,"2012-07-15 20:58:26","p",NA,NA
"biparental_19",NA,2012,"barr","lbdo","l401",71.3244,-156.627,-2.4418,"2012-06-24 16:35:29",NA,"2012-06-26 19:13:29",NA,"2012-06-24 12:43:29","catching","2012-06-24 21:08:29","127231981","f",1.92,"2012-06-26 19:13:29","p",NA,NA
"biparental_20",NA,2013,"barr","lbdo","l501",71.3199,-156.653,-2.44353333333333,"2013-06-27 15:20:23",NA,"2013-07-08 04:13:23",NA,"2013-07-05 14:38:23","bpd","2013-07-05 14:38:23","129270315","m",2.57,"2013-07-08 04:13:23","l",NA,NA
"biparental_21",NA,2013,"barr","lbdo","l502",71.3212,-156.636,-2.4424,"2013-07-03 13:07:27",NA,"2013-07-09 09:03:27",NA,"2013-07-03 14:21:27","catching","2013-07-03 15:18:27","NA_2013_l502","m",5.74,"2013-07-09 09:03:27","d",NA,NA
"biparental_22",NA,2013,"barr","lbdo","l801",71.3177,-156.653,-2.44353333333333,"2013-06-28 16:46:23",NA,"2013-07-02 23:53:23",NA,"2013-06-29 06:18:23","bpd","2013-06-29 17:23:23","129270437","m",3.27,"2013-07-02 23:53:23","p",NA,NA
