"year","site","sp","nest","datetime_","state","comment"
"2012","barr","sesa","s804","2012-07-07 08:08:18","d","2 eggs left"
"2012","barr","sesa","s807","2012-07-09 05:53:28","d","2 eggs left"
"2012","barr","sesa","s812","2012-06-29 09:13:25","ln",NA
"2012","barr","sesa","s815","2012-07-03 11:28:25","d","1 egg left"
"2012","barr","sesa","s901","2012-07-02 17:18:19","u","1 egg left - fake"
"2012","barr","sesa","s902","2012-06-22 17:33:19","d",NA
"2013","barr","wesa","w504","2013-07-12 06:36:25","w","end_of_field"
"2013","barr","wesa","w505","2013-07-06 13:28:23","d","4 eggs left"
"2013","barr","wesa","w507","2013-07-01 20:40:20","r",NA
"2013","barr","wesa","w507","2013-07-12 08:05:20","hd","2 chicks"
"2013","barr","wesa","w508","2013-07-07 21:23:25","r",NA
"2013","barr","wesa","w508","2013-07-12 07:02:25","w","end_of_field"
"2013","barr","wesa","w509","2013-07-06 18:33:24","hs",NA
"2013","barr","wesa","w509","2013-07-07 09:10:24","hg","3 chicks"
"2013","barr","wesa","w509","2013-07-07 09:24:24","hd","4 chicks"
"2013","barr","wesa","w511","2013-07-11 00:03:26","d","2 eggs left"
"2013","barr","wesa","w701","2013-07-11 18:44:29","w","end_of_field"
"2013","barr","wesa","w702","2013-07-07 23:03:29","d","3 eggs left"
"2013","barr","wesa","w801","2013-07-11 16:33:26","hs",NA
"2013","barr","wesa","w801","2013-07-12 06:43:26","hg","2 chick and 2 eggs, left Barrow"
"2013","barr","wesa","w802","2013-07-11 18:54:21","hd",NA
"2013","barr","wesa","w804","2013-07-10 04:28:34","d","3 eggs left"
